sample	type	H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995
TARGET_20_PAXJMY_09A_01R_RBS	TCR.ZFP36L2	-0.3030977544771823
TARGET_20_PAXJXC_09A_01R_RBS	KMT2A.Fusion	0.5714931695716403
TARGET_20_PAXJZX_09A_01R_RBS	unknown	0.3564370736873061
TARGET_20_PAXKEZ_09A_01R_RBS	UBTF	0.091750925884359
TARGET_20_PAXLBH_09A_01R_RBS	RUNX1.RUNX1T1	0.5224478999459347
TARGET_20_PAXLDI_09A_01R_RBS	KMT2A.Fusion	0.30808450994963504
TARGET_20_PAXLEE_09A_01R_RBS	UBTF	0.5075633982140408
TARGET_20_PAXLGL_09A_01R_RBS	KMT2A.Fusion	0.20281293460927524
TARGET_20_PAXLHS_09A_01R_RBS	KMT2A.Fusion	0.2645435554134351
TARGET_20_PAXLWH_09A_01R_RBS	NUP98.Fusion	0.5506280538128171
TARGET_20_PAXMIJ_09A_01R_RBS	RUNX1.RUNX1T1	0.38287264594916287
TARGET_20_PAXMKT_09A_01R_RBS	CBFB.MYH11	0.5542464966534976
TARGET_20_PAXMLI_09A_01R_RBS	KMT2A.Fusion	0.5712801208301952
TARGET_20_PAXMLW_09A_01R_RBS	UBTF	0.487196904684916
TARGET_20_PAXMNR_09A_01R_RBS	KMT2A.Fusion	0.5390023558154836
TARGET_20_PAXMPG_09A_01R_RBS	ETS.Fusion	0.4572839244200519
TARGET_20_PAXWMS_03A_01R_RBS	NUP98.Fusion	0.46342668122783043
TARGET_20_PAXXBC_09A_01R_RBS	CBFB.MYH11	0.10816156319175121
TARGET_20_PAXXCX_09A_01R_RBS	CBFB.MYH11	0.12949678747759916
TARGET_20_PAYASV_09A_01R_RBS	NUP98.Fusion	0.18932961947909832
TARGET_20_PAYLLP_09A_01R_RBS	UBTF	0.018606159777219845
