sample	type	H_PeripheralBlood_Normal_SuppressiveMonocyte_25799053
TARGET_20_PAXLDI_09A_01R_RBS	KMT2A.Fusion	0.3577339963770931
TARGET_20_PAXLEE_09A_01R_RBS	UBTF	0.2434096139326514
TARGET_20_PAXLGL_09A_01R_RBS	KMT2A.Fusion	0.18803845951158069
TARGET_20_PAXLHS_09A_01R_RBS	KMT2A.Fusion	0.0678557064560085
TARGET_20_PAXLWH_09A_01R_RBS	NUP98.Fusion	0.5573702166552151
TARGET_20_PAXMIJ_09A_01R_RBS	RUNX1.RUNX1T1	0.19319760522919655
TARGET_20_PAXMKT_09A_01R_RBS	CBFB.MYH11	0.3959699066150621
TARGET_20_PAXMLI_09A_01R_RBS	KMT2A.Fusion	0.2562928765046134
TARGET_20_PAXMLW_09A_01R_RBS	UBTF	0.3582907666944729
TARGET_20_PAXMNR_09A_01R_RBS	KMT2A.Fusion	0.5045059081178411
TARGET_20_PAXMPG_09A_01R_RBS	ETS.Fusion	0.00830716741901338
TARGET_20_PAXWMS_03A_01R_RBS	NUP98.Fusion	0.18947531500261586
TARGET_20_PAXXBC_09A_01R_RBS	CBFB.MYH11	0.1281790911558096
TARGET_20_PAXXCX_09A_01R_RBS	CBFB.MYH11	0.2772573752635458
TARGET_20_PAYASV_09A_01R_RBS	NUP98.Fusion	0.21050615220063743
TARGET_20_PAYLLP_09A_01R_RBS	UBTF	0.17690684096215595
