sample	type	H_PeripheralBlood_Normal_SuppressiveMonocyte_25799053
TARGET_20_PAUWEW_09A_01R_RBS	CBFB.MYH11	0.21063120694048723
TARGET_20_PAUWFM_09A_01R_RBS	CBFA2T3.GLIS2	0.5075299951735972
TARGET_20_PAUWHF_03A_01R_RBS	KMT2A.Fusion	0.33866613139759993
TARGET_20_PAUWKY_09A_01R_RBS	unknown	0.4315528307625132
TARGET_20_PAUWUZ_09A_01R_RBS	KMT2A.Fusion	0.28652071695863024
TARGET_20_PAUWYR_09A_01R_RBS	KMT2A.Fusion	0.2772128331277137
TARGET_20_PAUWYZ_09A_01R_RBS	CEBPA	0.17895899280854194
TARGET_20_PAUXCD_09A_01R_RBS	CBFB.MYH11	0.31881903007872275
TARGET_20_PAUXKI_09A_01R_RBS	RUNX1.RUNX1T1	0.0704003303005628
TARGET_20_PAUXNH_09A_01R_RBS	RUNX1.RUNX1T1	0.47100199990642044
TARGET_20_PAUXYG_09A_01R_RBS	UBTF	0.41099450607362376
TARGET_20_PAUYAE_09A_01R_RBS	NPM1	0.30289237314406303
TARGET_20_PAUYDT_09A_01R_RBS	NPM1	0.482293920259085
TARGET_20_PAUYEV_09A_01R_RBS	RUNX1.RUNX1T1	0.11958734216917842
TARGET_20_PAUYHR_09A_01R_RBS	ETS.Fusion	0.24933945266242846
TARGET_20_PAUYRR_09A_01R_RBS	NPM1	0.45109795563657656
TARGET_20_PAUYSN_09A_01R_RBS	unknown	0.2767781132821052
TARGET_20_PAUYUH_09A_01R_RBS	unknown	0.07334036056279371
TARGET_20_PAUZJJ_09A_01R_RBS	CBFA2T3.GLIS2	0.02738407367614631
TARGET_20_PAUZMH_09A_01R_RBS	NPM1	0.30508206748610883
TARGET_20_PAUZRX_09A_01R_RBS	RUNX1.RUNX1T1	0.4731371161144982
TARGET_20_PAUZRY_09A_01R_RBS	RUNX1.RUNX1T1	0.29099142793391647
TARGET_20_PAUZSY_09A_01R_RBS	unknown	-0.02035931901882992
TARGET_20_PAUZTH_09A_01R_RBS	KMT2A.Fusion	0.28634195689858566
TARGET_20_PAUZTM_09A_01R_RBS	unknown	0.33309097474430044
TARGET_20_PAUZVP_09A_01R_RBS	NUP214.Fusion	-0.2123459779152068
TARGET_20_PAUZXP_09A_01R_RBS	unknown	0.03448745592688749
TARGET_20_PAVACZ_09A_01R_RBS	KMT2A.Fusion	0.21819329972236032
TARGET_20_PAVAFA_03A_01R_RBS	NUP98.Fusion	-0.0024204056424400136
TARGET_20_PAVAFJ_09A_01R_RBS	RUNX1.RUNX1T1	0.04083474423954709
TARGET_20_PAVALI_09A_01R_RBS	ETS.Fusion	-0.1157795896123592
TARGET_20_PAVALK_09A_01R_RBS	KMT2A.Fusion	0.3172377934689274
TARGET_20_PAVANE_09A_01R_RBS	UBTF	0.05180282603112223
TARGET_20_PAVANX_09A_01R_RBS	unknown	0.292111862640793
TARGET_20_PAVAVV_09A_01R_RBS	CBFA2T3.GLIS2	0.13617898175618065
TARGET_20_PAVAWS_09A_01R_RBS	NUP98.Fusion	-0.21790458746112698
TARGET_20_PAVAYD_09A_01R_RBS	CBFB.MYH11	0.36100375401938295
TARGET_20_PAVBAY_09A_01R_RBS	RUNX1.RUNX1T1	0.4520954513927962
TARGET_20_PAVBCV_09A_01R_RBS	SPTBN1.ALK	0.3596805230516561
TARGET_20_PAVBEM_09A_01R_RBS	RUNX1.RUNX1T1	0.16291038608160918
TARGET_20_PAVBFN_09A_01R_RBS	RUNX1.DERA	0.11005296227252372
TARGET_20_PAVBIH_09A_01R_RBS	DDX3X.MLLT10	0.3989330635077975
TARGET_20_PAVBIY_09A_01R_RBS	KMT2A.Fusion	0.4409356304928937
TARGET_20_PAVBUX_09A_01R_RBS	KMT2A.Fusion	0.38796700891925917
TARGET_20_PAVBWL_09A_01R_RBS	CEBPA	0.3202198618434181
TARGET_20_PAVBYN_09A_01R_RBS	CEBPA	0.07980362060487081
TARGET_20_PAVBZM_09A_01R_RBS	NUP214.Fusion	0.46764964084142435
TARGET_20_PAVBZY_03A_01R_RBS	KMT2A.Fusion	0.2267444919729037
TARGET_20_PAVCJB_09A_01R_RBS	ETS.Fusion	0.21427803798365805
TARGET_20_PAVCMR_09A_01R_RBS	RUNX1.RUNX1T1	0.1357203678021815
TARGET_20_PAVCNG_09A_01R_RBS	CEBPA	0.46209635858738696
TARGET_20_PAVCNU_09A_01R_RBS	NUP98.Fusion	0.09053279123905135
TARGET_20_PAVCPM_09A_01R_RBS	NUP98.Fusion	0.10882583045184481
TARGET_20_PAVCVD_09A_01R_RBS	KMT2A.Fusion	0.15703628743341635
